代碼,名稱,產業,上月實際(百萬),上月MoM%,預測(百萬),預測MoM%,預測YoY%,近3月YoY中位,加速度pp,兩法一致,基期註記,大戶週Δpp,法人5日(張)
6196,帆宣,其他電子業,7219.6,-4.0,7436.8,3.0,95.4,101.3,55.0,✅,,-0.12,586
6187,萬潤,半導體業,1108.7,5.1,1076.9,-2.9,94.2,87.1,60.9,✅,,-1.12,12
8021,尖點,其他電子業,770.7,5.5,810.9,5.2,93.8,97.8,34.6,✅,,-2.73,3247
2855,統一證,金融保險業,3758.2,122.5,2649.6,-29.5,92.8,109.9,-318.6,❌,,0.47,4984
6716,應廣,半導體業,174.0,2.7,204.1,17.3,92.1,102.1,61.0,❌,,-3.71,88
3653,健策,電子零組件業,3225.9,0.4,3249.9,0.7,91.5,90.9,64.0,✅,,-0.19,199
6213,聯茂,電子零組件業,5044.0,6.2,5288.0,4.8,91.3,96.9,83.1,✅,,-1.23,-2999
3036,文曄,電子通路業,198383.8,8.4,257587.3,29.8,90.9,98.2,-20.7,✅,,-0.74,-4976
6672,騰輝電子-KY,電子零組件業,805.9,21.1,645.7,-19.9,90.8,90.8,55.8,—,,-0.73,-732
3443,創意,半導體業,5840.1,1.2,6867.0,17.6,90.1,111.0,-21.1,❌,,-0.16,73
4989,榮科,電子零組件業,408.7,20.4,468.6,14.7,90.0,101.8,67.9,❌,,-0.5,-1442
8383,千附,半導體業,511.6,3.1,484.4,-5.3,89.9,77.5,31.4,❌,,-1.76,-578
2101,南港,橡膠工業,1267.7,4.7,1202.1,-5.2,87.1,84.2,-74.5,✅,,-0.64,-1831
3290,東浦,電子零組件業,370.3,1.1,422.1,14.0,84.3,88.7,19.4,✅,,0.28,-84
3491,昇達科,通信網路業,321.2,39.6,351.6,9.5,83.9,89.4,32.1,✅,,1.56,-511
9958,世紀鋼,鋼鐵工業,1804.7,-6.6,1952.6,8.2,82.7,91.1,62.1,✅,,-1.36,537
5498,凱崴,電子零組件業,231.3,2.2,239.8,3.7,82.7,87.5,32.9,✅,,-0.14,-137
8422,可寧衛*,綠能環保,700.9,22.4,654.0,-6.7,82.5,59.9,58.4,❌,,0.19,842
6141,柏承,電子零組件業,272.7,7.0,277.9,1.9,82.2,79.5,59.9,✅,,0.76,-3534
3702,大聯大,電子通路業,142237.7,-2.6,161462.7,13.5,81.2,90.8,52.1,❌,,-0.86,6520
2376,技嘉,電腦及週邊設備業,47400.8,7.2,50579.4,6.7,80.7,68.5,-5.1,❌,,0.19,-6162
2395,研華,電腦及週邊設備業,10419.3,-7.6,11175.0,7.3,80.0,87.5,55.4,✅,,-0.27,-1294
2406,國碩,光電業,970.8,-2.7,958.7,-1.2,79.5,66.1,-77.2,❌,,-0.55,334
5864,致和證,金融保險業,599.2,-161.5,631.4,5.4,79.1,107.1,-243.1,❌,,0.41,-573
8033,雷虎,其他業,176.1,49.0,164.4,-6.6,78.9,19.6,14.4,❌,,-5.68,-1360
3028,增你強,電子通路業,6732.8,-8.2,7301.0,8.4,78.8,88.0,-18.3,❌,,-0.08,-804
2467,志聖,電子零組件業,865.8,-25.8,884.8,2.2,78.5,94.1,16.5,❌,,0.24,-782
1795,美時,生技醫療業,2107.2,-15.4,2164.1,2.7,78.3,81.7,-24.1,✅,,-0.91,-1345
8996,高力,電機機械,1203.9,30.5,1134.0,-5.8,78.1,57.6,-28.4,❌,,-0.25,-1311
6223,旺矽,半導體業,2048.2,13.4,1998.8,-2.4,77.8,66.5,13.9,❌,,0.02,661
1815,富喬,電子零組件業,912.4,6.8,908.6,-0.4,76.3,68.1,18.2,✅,,6.1,11490
2368,金像電,電子零組件業,10384.0,3.7,10538.8,1.5,75.8,77.4,14.2,✅,,0.34,100
8050,廣積,電腦及週邊設備業,693.4,34.5,750.6,8.3,75.0,94.5,90.8,❌,,0.26,375
4739,康普,化學工業,872.2,-10.6,1195.9,37.1,74.6,113.8,10.2,❌,,-0.6,-1326
2636,台驊控股,航運業,2908.8,3.4,2618.8,-10.0,74.1,62.8,52.4,❌,,0.76,811
6770,力積電,半導體業,7008.8,5.1,6851.6,-2.2,73.4,70.5,38.1,✅,,-0.86,112501
6209,今國光,光電業,556.7,6.2,638.8,14.7,73.4,93.2,22.5,❌,,-0.3,-3220
4916,事欣科,電腦及週邊設備業,553.3,6.3,602.2,8.8,71.9,83.0,32.7,❌,,0.27,-326
6531,愛普*,半導體業,1030.9,-6.6,1074.3,4.2,71.9,144.6,51.7,—,⚠️換檔(YoY將失速),-0.74,2725
6285,啟碁,通信網路業,15703.8,-7.1,16834.9,7.2,71.8,84.4,68.7,❌,,-0.11,-2202
3715,定穎投控,電子零組件業,2932.1,15.8,3000.0,2.3,71.7,69.7,27.8,✅,,-1.29,-1631
3060,銘異,電腦及週邊設備業,422.6,9.6,384.8,-8.9,71.4,46.4,34.7,❌,,-0.88,-537
2543,皇昌,建材營造業,1601.6,-9.3,2078.9,29.8,71.1,93.8,31.7,❌,,-0.15,295
2302,麗正,半導體業,135.1,10.5,144.7,7.1,70.3,81.2,58.8,❌,,-0.35,-1016
4576,大銀微系統,電機機械,426.9,16.4,416.1,-2.5,70.2,62.5,14.5,✅,,1.28,666
2363,矽統,半導體業,512.3,26.6,634.7,23.9,68.9,74.8,-12.4,✅,,-0.07,-4323
3088,艾訊,電腦及週邊設備業,945.7,0.1,1096.4,15.9,68.9,66.9,17.9,✅,,-1.11,-1071
3219,倚強科,其他電子業,247.3,1.7,165.8,-33.0,68.0,19.7,-10.5,—,⚠️換檔(YoY將失速),-1.36,516
2464,盟立,其他電子業,928.2,7.6,939.0,1.2,67.5,62.1,39.0,✅,,-0.16,-7987
3022,威強電,電腦及週邊設備業,799.2,-20.9,845.2,5.8,67.4,80.0,70.3,❌,,-0.38,-3322
3162,精確,電機機械,1137.1,5.7,1169.6,2.9,67.3,77.5,56.2,❌,,-0.18,-472
6426,統新,通信網路業,73.3,-6.3,70.2,-4.3,66.5,78.2,8.1,❌,,1.0,914
7788,松川精密,電子零組件業,872.0,-11.6,842.3,-3.4,66.4,66.4,50.0,—,,0.23,-1202
2345,智邦,通信網路業,40872.5,3.5,40346.2,-1.3,65.9,61.2,7.3,✅,,0.26,-2489
6617,共信-KY,生技醫療業,4.6,1.3,8.3,77.7,63.5,63.5,52.4,—,,0.06,-334
7795,長廣,電子零組件業,359.8,95.7,184.8,-48.6,62.5,62.5,49.0,—,,-0.7,-233
4770,上品,化學工業,492.0,-6.6,555.5,12.9,62.1,-6.9,-21.7,—,⚠️換檔(YoY將失速),0.8,418
1714,和桐,化學工業,3046.8,-8.5,3608.4,18.4,62.0,73.4,1.7,❌,,-0.67,-9032
6416,瑞祺電通,通信網路業,548.1,21.5,720.0,31.4,62.0,73.5,65.6,—,⚠️換檔(YoY將失速),-0.05,154
6913,鴻呈,電子零組件業,304.6,-18.3,420.1,37.9,61.1,61.1,35.6,—,,-1.23,-1134
3689,湧德,電子零組件業,780.9,-7.3,823.0,5.4,60.8,64.9,23.1,✅,,-0.78,-24
1709,和益,化學工業,1208.4,6.9,1389.5,15.0,60.5,82.7,79.4,❌,,0.05,2386
3003,健和興,電子零組件業,548.3,-16.7,564.8,3.0,59.8,59.3,33.7,✅,,0.78,-2590
3141,晶宏,半導體業,242.1,12.3,232.4,-4.0,59.7,39.6,25.8,❌,,8.19,3
3665,貿聯-KY,其他電子業,8891.8,-7.7,10702.5,20.4,59.6,59.6,37.4,—,,-0.29,-1946
6669,緯穎,電腦及週邊設備業,144311.8,22.6,137423.2,-4.8,59.2,39.2,21.1,❌,,-2.79,-4430
2615,萬海,航運業,19200.0,3.0,17502.3,-8.8,58.9,50.1,37.1,❌,,-0.12,-7391
8358,金居,電子零組件業,1056.2,4.7,1061.1,0.5,58.2,54.9,13.5,✅,,-2.28,-1555
3229,晟鈦,電子零組件業,141.2,-2.3,150.3,6.4,58.1,80.4,20.6,❌,,0.41,2145
4979,華星光,通信網路業,545.9,7.3,458.9,-15.9,57.9,31.0,10.8,❌,,-1.64,-5349
6532,瑞耘,半導體業,76.7,-12.9,78.2,2.1,56.9,49.1,23.6,✅,,2.71,414
2317,鴻海,其他電子業,921766.0,-2.6,1311433.4,42.3,56.7,52.1,12.5,✅,,-0.01,-18511
6829,千附精密,半導體業,271.8,35.0,233.0,-14.2,56.5,56.5,19.3,✅,,0.06,-381
2637,慧洋-KY,航運業,2013.2,-4.0,2523.9,25.4,56.2,56.2,21.3,—,,-0.05,4421
6538,倉和,電子零組件業,168.0,6.8,190.9,13.6,56.0,55.7,75.1,✅,,-1.61,-140
3209,全科,電子通路業,5371.6,-18.6,4642.3,-13.6,55.1,47.9,15.8,✅,,-1.34,-1800
2356,英業達,電腦及週邊設備業,83267.7,-7.7,93951.5,12.8,55.1,61.6,25.1,✅,,0.15,-28992
6442,光聖,通信網路業,1628.2,32.4,1619.3,-0.5,55.0,49.2,-26.3,—,⚠️換檔(YoY將失速),-0.44,-202
3044,健鼎,電子零組件業,10224.4,4.1,10744.4,5.1,54.9,56.5,27.6,✅,,0.29,595
8234,新漢,電腦及週邊設備業,612.2,-18.6,622.1,1.6,54.9,48.0,49.4,✅,,0.08,-621
2511,太子,建材營造業,1094.1,65.5,1197.0,9.4,54.7,76.5,74.6,❌,,0.04,991
6517,保勝光學,光電業,46.9,-17.4,41.8,-10.7,54.7,70.1,88.8,❌,,-1.85,-305
8088,品安,半導體業,230.6,6.5,215.4,-6.6,54.4,44.9,-11.5,❌,,-0.85,-184
2351,順德,半導體業,1326.1,-0.1,1345.6,1.5,54.3,54.0,30.2,✅,,0.8,865
5388,中磊,通信網路業,7044.1,-11.7,7101.8,0.8,53.8,51.3,-18.7,✅,,-1.18,-3315
3324,雙鴻,其他電子業,3141.2,-16.6,3591.5,14.3,53.5,67.2,-24.5,❌,,9.32,-574
3029,零壹,資訊服務業,3487.6,7.6,3068.4,-12.0,53.5,44.4,18.4,❌,,-0.32,-100
6861,睿生光電,生技醫療業,283.5,-2.5,293.1,3.4,53.5,52.5,-0.1,✅,,-0.33,-1048
2605,新興,航運業,507.9,6.0,568.4,11.9,53.3,51.6,35.9,✅,,0.29,5404
3305,昇貿,其他電子業,1387.6,-1.9,1497.0,7.9,53.3,59.2,-12.1,✅,,-0.9,-1064
2330,台積電,半導體業,514805.3,10.1,507460.0,-1.4,53.3,53.3,23.2,✅,,-0.02,8656
4912,聯德控股-KY,電子零組件業,657.1,-10.1,871.4,32.6,53.3,53.3,22.9,—,,-1.07,-329
6510,精測,半導體業,638.3,3.9,639.7,0.2,53.0,49.9,19.7,✅,,0.29,672
3594,磐儀,電腦及週邊設備業,263.0,2.4,277.1,5.4,52.9,50.5,-2.8,✅,,-0.62,-123
6173,信昌電,電子零組件業,551.7,2.7,519.9,-5.8,52.8,47.9,27.5,✅,,0.93,-502
