代碼,名稱,產業,上月實際(百萬),預測(百萬),預測YoY%,近3月YoY中位,加速度pp,兩法一致,大戶週Δpp,法人5日(張)
7402,邑錡,光電業,47.5,37.6,2.8,-17.8,4.4,❌,1.54,45
1809,中釉,玻璃陶瓷,202.9,229.9,2.8,1.0,-0.1,✅,-0.08,310
6761,穩得,電子零組件業,174.4,179.8,2.5,-0.4,14.4,✅,0.0,279
1101,台泥,水泥工業,13382.7,13833.2,2.2,-0.1,5.8,✅,-0.25,-5210
4976,佳凌,光電業,95.7,90.3,2.0,0.6,-0.2,✅,0.54,871
8081,致新,半導體業,743.4,777.1,2.0,-3.3,-2.3,❌,-0.37,96
3035,智原,半導體業,1416.8,984.2,1.9,-43.1,26.3,❌,0.25,2333
3066,李洲,光電業,27.0,55.0,1.9,50.0,7.4,❌,0.03,483
3014,聯陽,半導體業,612.8,601.0,1.8,-4.2,-11.2,❌,-0.69,215
8069,元太,光電業,4041.1,3948.1,1.3,-0.6,-1.9,✅,-0.33,-5399
2484,希華,電子零組件業,207.3,222.5,1.1,0.0,4.6,✅,-0.47,-5886
2010,春源,鋼鐵工業,2154.4,2132.8,0.9,0.5,-15.3,✅,0.1,468
2614,東森,其他業,456.6,451.1,0.8,-4.7,-3.3,❌,-0.1,-329
1227,佳格,食品工業,1949.5,1943.4,0.8,-1.6,-17.7,✅,-0.07,-2765
6509,聚和,化學工業,413.6,415.6,0.7,8.5,1.3,❌,0.04,-358
2903,遠百,貿易百貨業,2323.6,2473.6,0.6,0.5,3.5,✅,0.06,-360
3032,偉訓,電子零組件業,1004.3,1147.2,0.4,12.7,11.2,❌,0.0,256
3114,好德,電子零組件業,262.7,255.2,0.4,-6.5,-18.8,❌,0.0,62
1721,三晃,化學工業,141.1,177.2,0.2,7.7,30.5,❌,0.01,280
4123,晟德,生技醫療業,116.3,136.1,0.2,8.1,-47.5,❌,0.04,-3600
9933,中鼎,其他業,7296.6,6552.5,0.1,-16.6,7.7,❌,0.13,-2241
2439,美律,通信網路業,3459.9,3663.6,0.1,0.1,-23.9,✅,-2.14,-762
2023,燁輝,鋼鐵工業,5315.3,5149.0,-0.1,-2.8,5.7,✅,-0.16,-397
2501,國建,建材營造業,1211.3,1128.6,-0.1,-1.7,-195.2,✅,0.06,-3215
1528,恩德,電機機械,275.0,265.2,-0.2,1.2,-28.6,✅,0.36,337
2338,光罩,半導體業,508.9,482.3,-0.3,-6.6,-5.0,❌,0.12,-621
1102,亞泥,水泥工業,5886.0,5817.1,-0.3,-2.2,14.3,✅,0.25,11050
6269,台郡,電子零組件業,1715.6,1959.0,-0.4,-1.0,-9.5,✅,2.6,4099
2201,裕隆,汽車工業,5920.5,6159.6,-0.4,-3.0,0.6,✅,-0.11,-1036
1905,華紙,造紙工業,1517.4,1491.2,-0.4,-0.4,-3.5,✅,0.02,1323
9914,美利達,運動休閒,2385.9,2471.6,-0.5,-5.5,16.6,❌,-0.47,-2098
6831,邁科,電腦及週邊設備業,503.4,419.0,-0.6,-10.8,-54.6,❌,-0.24,-705
8039,台虹,電子零組件業,835.2,895.2,-0.7,-1.4,-11.8,✅,0.75,-3842
1301,台塑,塑膠工業,13976.3,14449.1,-1.0,0.7,1.3,✅,0.58,82816
1434,福懋,紡織纖維,2148.9,2154.4,-1.4,-1.4,3.3,✅,0.12,5153
1536,和大,汽車工業,367.0,395.5,-1.4,3.8,-1.6,❌,-0.06,86
8088,品安,半導體業,123.7,147.4,-1.4,2.1,-54.3,✅,-0.08,-173
3289,宜特,其他電子業,426.3,408.7,-1.6,-1.6,5.8,✅,-0.09,512
5531,鄉林,建材營造業,59.0,59.4,-1.6,6.0,-16.8,❌,-0.02,-1403
2352,佳世達,電腦及週邊設備業,18670.9,17155.0,-1.8,-1.7,-8.4,✅,-0.28,166
9941,裕融,其他業,3303.7,3300.5,-1.8,-4.0,-4.0,✅,0.15,-614
6284,佳邦,電子零組件業,660.9,625.1,-1.9,-10.6,3.8,❌,-0.1,-536
8105,凌巨,光電業,680.5,621.2,-2.0,-4.5,-9.3,✅,0.17,5375
1305,華夏,塑膠工業,564.3,738.0,-2.0,20.7,16.7,❌,0.47,2722
