wcode,kind,uname,ucode
052191,call,台積電,2330
052192,call,台積電,2330
052193,call,台積電,2330
052194,call,台積電,2330
052195,call,智邦,2345
052196,call,智邦,2345
052197,call,金像電,2368
052198,call,佳能,2374
052199,call,聯發科,2454
052200,call,志聖,2467
052201,call,華新科,2492
052202,call,揚博,2493
052203,call,揚博,2493
052204,call,揚博,2493
052205,call,揚博,2493
052206,call,智原,3035
052207,call,日電貿,3090
052208,call,景碩,3189
052209,call,嘉澤,3533
052210,call,貿聯-KY,3665
052211,call,達興材料,5234
052212,call,祥碩,5269
052213,call,亞翔,6139
052214,call,今國光,6209
052215,call,力成,6239
052216,call,矽力*-KY,6415
052217,call,矽力*-KY,6415
052218,call,愛普*,6531
052219,call,愛普*,6531
052220,call,昇陽半導體,8028
052221,call,至上,8112
052222,call,南茂,8150
052223,call,南茂,8150
052231,call,聯電,2303
052233,call,金寶,2312
052235,call,台積電,2330
052238,call,大立光,3008
052240,call,玉晶光,3406
052241,call,世芯-KY,3661
052243,call,貿聯-KY,3665
052245,call,定穎投控,3715
052246,call,定穎投控,3715
052247,call,愛普*,6531
052248,call,緯穎,6669
052251,call,台泥,1101
052252,call,裕隆,2201
052254,call,聯電,2303
052255,call,華通,2313
052256,call,中環,2323
052257,call,國巨*,2327
052258,call,矽統,2363
052260,call,長榮,2603
052262,call,漢翔,2634
052263,call,元大金,2885
052264,call,增你強,3028
052265,call,洋華,3622
052266,call,和碩,4938
052267,call,全訊,5222
052268,call,達運,6120
052269,call,聯茂,6213
052270,call,裕慶-KY,6957
052271,call,南茂,8150
052272,call,聯電,2303
052273,call,亞航,2630
052274,call,漢翔,2634
052275,call,智原,3035
052276,call,昇貿,3305
052277,call,矽力*-KY,6415
052281,call,中砂,1560
052282,call,川湖,2059
052283,call,光寶科,2301
052287,call,鴻海,2317
052288,call,國巨*,2327
052289,call,智邦,2345
052293,call,奇鋐,3017
052294,call,智原,3035
052295,call,緯創,3231
052296,call,昇貿,3305
052297,call,新日興,3376
052298,call,聯鈞,3450
052302,call,定穎投控,3715
052303,call,定穎投控,3715
052304,call,達明,4585
052305,call,祥碩,5269
052306,call,今國光,6209
052307,call,旭隼,6409
052308,call,矽力*-KY,6415
052312,call,南茂,8150
052313,call,南茂,8150
052314,call,勤誠,8210
052317,call,亞德客-KY,1590
052318,call,台達電,2308
052319,call,宏碁,2353
052321,call,志聖,2467
052322,call,新興,2605
052323,call,益登,3048
052325,call,緯創,3231
052327,call,台勝科,3532
05232P,put,台積電,2330
052330,call,大聯大,3702
052331,call,至上,8112
052340,call,台達電,2308
052341,call,鴻海,2317
052343,call,雄獅,2731
052347,call,聯鈞,3450
052349,call,世芯-KY,3661
052350,call,定穎投控,3715
052352,call,矽力*-KY,6415
052353,call,保瑞,6472
052357,call,勤誠,8210
052358,call,勤誠,8210
052359,call,勤誠,8210
052371,call,川湖,2059
052377,call,華通,2313
052378,call,鴻海,2317
052379,call,台積電,2330
052381,call,燿華,2367
052383,call,漢唐,2404
052386,call,聯發科,2454
052387,call,宏達電,2498
052388,call,長榮,2603
052391,call,大立光,3008
052392,call,大立光,3008
052397,call,新日興,3376
052403,call,定穎投控,3715
052404,call,亞翔,6139
052409,call,康舒,6282
052412,call,矽力*-KY,6415
052426,call,台泥,1101
052429,call,聯電,2303
052431,call,金寶,2312
052434,call,致茂,2360
052443,call,景碩,3189
052445,call,聯鈞,3450
052446,call,祥碩,5269
052448,call,力成,6239
052449,call,康舒,6282
052451,call,台泥,1101
052452,call,亞聚,1308
052454,call,華通,2313
052455,call,華泰,2329
052457,call,強茂,2481
052458,call,新興,2605
052459,call,欣興,3037
052460,call,建漢,3062
052463,call,大量,3167
052464,call,事欣科,4916
052465,call,臻鼎-KY,4958
052466,call,乙盛-KY,5243
052468,call,康舒,6282
052469,call,啟碁,6285
052470,call,長華*,8070
052471,call,泰金寶-DR,9105
052472,call,聯電,2303
052473,call,華通,2313
052477,call,AES-KY,6781
052478,call,川湖,2059
052479,call,光寶科,2301
052480,call,聯電,2303
052481,call,鴻海,2317
052482,call,致茂,2360
052483,call,毅嘉,2402
052484,call,日月光投控,3711
052485,call,洋基工程,6691
052486,call,振樺電,8114
052487,call,南茂,8150
052488,call,金寶,2312
052490,call,敬鵬,2355
052491,call,燿華,2367
052492,call,菱生,2369
052494,call,景碩,3189
052495,call,定穎投控,3715
052496,call,定穎投控,3715
052497,call,力成,6239
052499,call,金寶,2312
052500,call,揚博,2493
052501,call,大量,3167
052502,call,康舒,6282
052503,call,勤誠,8210
052511,call,川湖,2059
052517,call,奇鋐,3017
052521,call,鴻海,2317
052523,call,華泰,2329
052524,call,華泰,2329
052525,call,台積電,2330
052526,call,燿華,2367
052527,call,毅嘉,2402
052531,call,全新,2455
052532,call,全新,2455
052533,call,全新,2455
052543,call,新日興,3376
052547,call,定穎投控,3715
052555,call,矽力*-KY,6415
052558,call,至上,8112
052559,call,至上,8112
052561,call,南茂,8150
052562,call,南茂,8150
052570,call,國喬,1312
052574,call,光寶科,2301
052576,call,華通,2313
052581,call,燿華,2367
052584,call,全新,2455
052585,call,玉山金,2884
052586,call,欣興,3037
052588,call,昇貿,3305
052590,call,世芯-KY,3661
052591,call,上緯投控,3708
052592,call,日月光投控,3711
052595,call,臻鼎-KY,4958
052596,call,祥碩,5269
052597,call,祥碩,5269
052598,call,力成,6239
052600,call,啟碁,6285
052609,call,東元,1504
052612,call,台達電,2308
052615,call,台積電,2330
052616,call,台積電,2330
052621,call,全新,2455
052625,call,欣興,3037
052627,call,世芯-KY,3661
052640,call,台化,1326
052641,call,中砂,1560
052642,call,中砂,1560
052643,call,川湖,2059
052644,call,金寶,2312
052645,call,華通,2313
052646,call,華通,2313
052647,call,華通,2313
052648,call,鴻海,2317
052649,call,所羅門,2359
052650,call,致茂,2360
052651,call,致茂,2360
052652,call,台光電,2383
052653,call,超豐,2441
052654,call,超豐,2441
052655,call,全新,2455
052656,call,揚博,2493
052657,call,揚博,2493
052658,call,揚博,2493
052660,call,文曄,3036
052661,call,欣興,3037
052662,call,欣興,3037
052663,call,欣興,3037
052664,call,欣興,3037
052665,call,益登,3048
052666,call,日電貿,3090
052667,call,大量,3167
052668,call,大量,3167
052669,call,大量,3167
052670,call,大量,3167
052671,call,大量,3167
052672,call,大量,3167
052673,call,景碩,3189
052674,call,台勝科,3532
052675,call,嘉澤,3533
052676,call,世芯-KY,3661
052677,call,日月光投控,3711
052678,call,大銀微系統,4576
052679,call,祥碩,5269
052680,call,亞翔,6139
052681,call,亞翔,6139
052682,call,精成科,6191
052683,call,佳必琪,6197
052684,call,今國光,6209
052685,call,今國光,6209
052686,call,今國光,6209
052687,call,力成,6239
052688,call,同欣電,6271
052689,call,康舒,6282
052690,call,康舒,6282
052691,call,矽力*-KY,6415
052692,call,富世達,6805
052695,call,台虹,8039
052697,call,至上,8112
052698,call,南茂,8150
052699,call,南茂,8150
052700,call,南茂,8150
052701,call,南茂,8150
052702,call,南茂,8150
052703,call,南茂,8150
052704,call,華新,1605
052705,call,新興,2605
052706,call,大量,3167
052707,call,龍德造船,6753
052708,call,昇陽半導體,8028
052709,call,可寧衛*,8422
052712,call,大成鋼,2027
052715,call,大同,2371
052716,call,微星,2377
052718,call,漢翔,2634
052720,call,矽格,6257
052721,call,南茂,8150
052722,call,可寧衛*,8422
052723,call,可寧衛*,8422
052736,call,大量,3167
052739,call,大量,3167
052741,call,矽統,2363
052745,call,可寧衛*,8422
052746,call,華新,1605
052747,call,國巨*,2327
052750,call,華泰,2329
052751,call,超豐,2441
052752,call,昇貿,3305
052753,call,緯穎,6669
052754,call,南茂,8150
052755,call,國喬,1312
052756,call,金寶,2312
052757,call,國巨*,2327
052759,call,燿華,2367
052760,call,瑞昱,2379
052761,call,漢唐,2404
052763,call,奇鋐,3017
052765,call,臻鼎-KY,4958
052766,call,力成,6239
052767,call,AES-KY,6781
052769,call,可寧衛*,8422
052771,call,南亞,1303
052772,call,南亞,1303
052773,call,華新,1605
052774,call,華新,1605
052775,call,永光,1711
052776,call,第一銅,2009
052777,call,金寶,2312
052778,call,金寶,2312
052779,call,金寶,2312
052780,call,華通,2313
052781,call,華通,2313
052782,call,華泰,2329
052783,call,台積電,2330
052786,call,台積電,2330
052787,call,致茂,2360
052788,call,瑞昱,2379
052789,call,瑞昱,2379
052790,call,超豐,2441
052791,call,強茂,2481
052792,call,智原,3035
052793,call,欣興,3037
052794,call,鴻海,2317
052795,call,鴻海,2317
052796,call,欣興,3037
052797,call,大量,3167
052798,call,景碩,3189
052799,call,聯鈞,3450
052800,call,貿聯-KY,3665
052801,call,臻鼎-KY,4958
052802,call,祥碩,5269
052803,call,聯茂,6213
052804,call,力成,6239
052805,call,力成,6239
052806,call,力成,6239
052807,call,康舒,6282
052808,call,緯穎,6669
052809,call,龍德造船,6753
052810,call,長華*,8070
052811,call,至上,8112
052812,call,南茂,8150
052813,call,可寧衛*,8422
052814,call,可寧衛*,8422
052815,call,可寧衛*,8422
052816,call,可寧衛*,8422
052817,call,可寧衛*,8422
052820,call,華新,1605
052823,call,光寶科,2301
052824,call,金寶,2312
052825,call,華通,2313
052826,call,台積電,2330
052829,call,漢唐,2404
052831,call,日月光投控,3711
052832,call,臻鼎-KY,4958
052833,call,亞翔,6139
052834,call,力成,6239
052837,call,緯穎,6669
052840,call,勤誠,8210
052843,call,可寧衛*,8422
052844,call,可寧衛*,8422
052855,call,鴻海,2317
052856,call,華泰,2329
052857,call,華泰,2329
052858,call,華泰,2329
052859,call,燿華,2367
052863,call,聯發科,2454
052864,call,全新,2455
052865,call,全新,2455
052879,call,亞翔,6139
052881,call,矽格,6257
052884,call,矽力*-KY,6415
052886,call,至上,8112
052887,call,南茂,8150
052888,call,可寧衛*,8422
052889,call,可寧衛*,8422
052890,call,可寧衛*,8422
052894,call,亞德客-KY,1590
052897,call,宇隆,2233
052899,call,台達電,2308
052900,call,金寶,2312
052902,call,鴻海,2317
052906,call,金像電,2368
05290U,put,華通,2313
052910,call,瑞昱,2379
052911,call,瑞昱,2379
052917,call,大量,3167
052918,call,和碩,4938
052920,call,亞翔,6139
052921,call,帆宣,6196
052923,call,力成,6239
052924,call,力成,6239
052929,call,可寧衛*,8422
052931,call,立隆電,2472
052932,call,康舒,6282
052933,call,保瑞,6472
052934,call,士電,1503
052935,call,鴻海,2317
052936,call,瑞昱,2379
052937,call,瑞昱,2379
052938,call,惠特,6706
052939,call,可寧衛*,8422
052940,call,可寧衛*,8422
052941,call,可寧衛*,8422
052942,call,士電,1503
052943,call,士電,1503
052944,call,士電,1503
052945,call,士電,1503
052946,call,中興電,1513
052947,call,中興電,1513
052948,call,中興電,1513
052949,call,亞力,1514
052950,call,亞力,1514
052951,call,華新,1605
052952,call,聯電,2303
052953,call,金寶,2312
052954,call,金寶,2312
052955,call,金寶,2312
052956,call,金寶,2312
052957,call,金寶,2312
052958,call,國巨*,2327
052959,call,國巨*,2327
052960,call,國巨*,2327
052961,call,華泰,2329
052962,call,精英,2331
052963,call,精英,2331
052964,call,漢唐,2404
052965,call,漢唐,2404
052966,call,超豐,2441
052967,call,全新,2455
052968,call,立隆電,2472
052969,call,強茂,2481
052970,call,華新科,2492
052971,call,華新科,2492
052972,call,華新科,2492
052973,call,日電貿,3090
052974,call,今國光,6209
052975,call,力成,6239
052976,call,康舒,6282
052977,call,康舒,6282
052978,call,康舒,6282
052979,call,康舒,6282
052980,call,緯穎,6669
052981,call,洋基工程,6691
052982,call,惠特,6706
052983,call,惠特,6706
052984,call,龍德造船,6753
052985,call,雲豹能源,6869
052986,call,雲豹能源,6869
052987,call,兆聯實業,6944
052988,call,兆聯實業,6944
052989,call,昇陽半導體,8028
052990,call,勤誠,8210
052991,call,可寧衛*,8422
052992,call,可寧衛*,8422
052993,call,可寧衛*,8422
052996,call,中興電,1513
052997,call,永光,1711
052999,call,台積電,2330
053000,call,昆盈,2365
053001,call,大同,2371
053002,call,凱美,2375
053003,call,美律,2439
053004,call,全新,2455
053005,call,盟立,2464
053007,call,奇鋐,3017
053014,call,日電貿,3090
053018,call,事欣科,4916
053019,call,康舒,6282
053020,call,鈺邦,6449
053022,call,汎銓,6830
053023,call,三集瑞-KY,6862
053024,call,勤誠,8210
053025,call,可寧衛*,8422
053026,call,元大台灣50,0050
053027,call,台達電,2308
053028,call,華通,2313
053029,call,華通,2313
053030,call,鴻海,2317
053031,call,國巨*,2327
053032,call,國巨*,2327
053033,call,台積電,2330
053034,call,聯發科,2454
053035,call,欣興,3037
053037,call,康舒,6282
053038,call,洋基工程,6691
053039,call,惠特,6706
053040,call,可寧衛*,8422
053044,call,台達電,2308
053047,call,華泰,2329
053050,call,瑞昱,2379
053056,call,大立光,3008
053060,call,矽力*-KY,6415
053061,call,惠特,6706
053062,call,惠特,6706
053063,call,惠特,6706
053064,call,可寧衛*,8422
053065,call,可寧衛*,8422
053066,call,可寧衛*,8422
05306U,put,台積電,2330
053080,call,台達電,2308
053081,call,台達電,2308
053085,call,華通,2313
053091,call,大同,2371
053092,call,大同,2371
053093,call,漢唐,2404
053099,call,華航,2610
053106,call,宏達電,2498
053119,call,南茂,8150
053121,call,可寧衛*,8422
053125,call,中興電,1513
053130,call,金寶,2312
053135,call,漢唐,2404
053136,call,漢唐,2404
053138,call,美律,2439
053147,call,巨大,9921
053149,call,永光,1711
053150,call,宇隆,2233
053151,call,金寶,2312
053152,call,仁寶,2324
053154,call,宏碁,2353
053155,call,致茂,2360
053156,call,漢唐,2404
053157,call,仲琦,2419
053159,call,兆赫,2485
053160,call,晶技,3042
053161,call,明泰,3380
053162,call,聯鈞,3450
053163,call,台勝科,3532
053164,call,日月光投控,3711
053165,call,力成,6239
053166,call,矽格,6257
053167,call,康舒,6282
053168,call,帝寶,6605
053169,call,雲豹能源,6869
053170,call,兆聯實業,6944
053171,call,致新,8081
053172,call,達方,8163
053173,call,可寧衛*,8422
053174,call,可寧衛*,8422
053175,call,可寧衛*,8422
053176,call,可寧衛*,8422
053177,call,泰金寶-DR,9105
053178,call,巨大,9921
053182,call,國喬,1312
053183,call,華通,2313
053184,call,華通,2313
053185,call,華通,2313
053187,call,仲琦,2419
053189,call,康舒,6282
053190,call,南茂,8150
053195,call,東元,1504
053196,call,台達電,2308
053197,call,國巨*,2327
053198,call,立隆電,2472
053199,call,禾伸堂,3026
053200,call,臻鼎-KY,4958
053201,call,崇越,5434
053202,call,鈺邦,6449
053205,call,台塑,1301
053206,call,南亞,1303
053207,call,台化,1326
053208,call,東元,1504
053209,call,華新,1605
053210,call,永光,1711
053211,call,宇隆,2233
053212,call,金寶,2312
053214,call,國巨*,2327
053215,call,廣宇,2328
053216,call,精英,2331
053219,call,昇貿,3305
053220,call,達邁,3645
053221,call,大銀微系統,4576
053224,call,惠特,6706
053226,call,昇貿,3305
053227,call,南茂,8150
053232,call,東元,1504
053233,call,金寶,2312
053236,call,揚博,2493
053237,call,永豐金,2890
053239,call,健鼎,3044
053241,call,緯創,3231
053242,call,亞翔,6139
053244,call,矽格,6257
053245,call,緯穎,6669
053251,call,華通,2313
053252,call,華通,2313
053258,call,南亞,1303
053259,call,中興電,1513
053260,call,亞力,1514
053261,call,台玻,1802
053262,call,台玻,1802
053263,call,第一銅,2009
053264,call,上銀,2049
053265,call,光寶科,2301
053266,call,聯電,2303
053267,call,聯電,2303
053268,call,金寶,2312
053269,call,國巨*,2327
053270,call,國巨*,2327
053271,call,精英,2331
053272,call,大同,2371
053273,call,大同,2371
053274,call,大同,2371
053275,call,聯發科,2454
053276,call,志聖,2467
053277,call,益登,3048
053278,call,昇貿,3305
053279,call,矽格,6257
053280,call,康舒,6282
053281,call,洋基工程,6691
053282,call,惠特,6706
053283,call,惠特,6706
053284,call,富世達,6805
053285,call,振樺電,8114
053293,call,中砂,1560
053294,call,華新,1605
053295,call,台玻,1802
053299,call,台達電,2308
053302,call,華泰,2329
053303,call,台積電,2330
053306,call,全新,2455
053309,call,昇貿,3305
053310,call,牧德,3563
053313,call,南茂,8150
053317,call,國喬,1312
053319,call,華新,1605
053320,call,金寶,2312
053321,call,廣宇,2328
053334,call,元大台灣50,0050
053335,call,元大台灣50,0050
053341,call,東元,1504
053354,call,鴻海,2317
053357,call,華城,1519
053358,call,華城,1519
053359,call,華泰,2329
053360,call,怡利電,2497
053361,call,華泰,2329
053365,call,定穎投控,3715
05336U,put,台積電,2330
053370,call,大同,2371
053371,call,大同,2371
053372,call,大同,2371
053375,call,漢唐,2404
053382,call,健鼎,3044
053384,call,亞翔,6139
053388,call,矽格,6257
053392,call,洋基工程,6691
053396,call,東元,1504
053397,call,堤維西,1522
05339U,put,達興材料,5234
053400,call,聯電,2303
053402,call,台積電,2330
053403,call,台積電,2330
053404,call,凱美,2375
053405,call,超豐,2441
053408,call,大立光,3008
053411,call,景碩,3189
053412,call,世芯-KY,3661
053413,call,世芯-KY,3661
053414,call,帆宣,6196
053417,call,惠特,6706
053418,call,至上,8112
053419,call,福懋科,8131
053420,call,福懋科,8131
053421,call,台玻,1802
053422,call,台積電,2330
053423,call,漢唐,2404
053424,call,聯發科,2454
053425,call,景碩,3189
053426,call,台積電,2330
053427,call,神達,3706
053429,call,日月光投控,3711
053430,call,臻鼎-KY,4958
053432,call,南亞,1303
053434,call,南亞,1303
053435,call,中砂,1560
053436,call,中鋼,2002
053437,call,光寶科,2301
053438,call,仁寶,2324
053439,call,華泰,2329
053440,call,漢唐,2404
053441,call,漢唐,2404
053442,call,友達,2409
053443,call,京元電子,2449
053445,call,大立光,3008
053446,call,奇鋐,3017
053447,call,奇鋐,3017
053448,call,欣興,3037
053450,call,世芯-KY,3661
053451,call,世芯-KY,3661
053452,call,日月光投控,3711
053453,call,材料*-KY,4763
053454,call,臻鼎-KY,4958
053455,call,祥碩,5269
053456,call,祥碩,5269
053457,call,精成科,6191
053458,call,AES-KY,6781
053459,call,東元,1504
053460,call,東元,1504
053461,call,台玻,1802
053462,call,金寶,2312
053463,call,金寶,2312
053464,call,友達,2409
053465,call,大量,3167
053466,call,世芯-KY,3661
053467,call,臻鼎-KY,4958
053468,call,元大台灣50,0050
053473,call,東元,1504
053478,call,宇隆,2233
053484,call,廣宇,2328
053485,call,華泰,2329
053486,call,台積電,2330
053488,call,漢唐,2404
053489,call,友達,2409
053492,call,強茂,2481
053493,call,欣興,3037
053496,call,祥碩,5269
053498,call,保瑞,6472
053504,call,台塑,1301
053505,call,台塑,1301
053506,call,南亞,1303
053507,call,南亞,1303
053508,call,國喬,1312
053509,call,東陽,1319
053510,call,亞力,1514
053511,call,中砂,1560
053512,call,中砂,1560
053513,call,中砂,1560
053514,call,台玻,1802
053515,call,台玻,1802
053516,call,台玻,1802
053517,call,台達電,2308
053518,call,台達電,2308
053519,call,廣宇,2328
053520,call,佳能,2374
053521,call,友達,2409
053522,call,友達,2409
053523,call,友達,2409
053524,call,友達,2409
053525,call,友達,2409
053526,call,超豐,2441
053527,call,景碩,3189
053528,call,聯鈞,3450
053529,call,世芯-KY,3661
053530,call,日月光投控,3711
053531,call,日月光投控,3711
053532,call,臻鼎-KY,4958
053533,call,帆宣,6196
053534,call,力成,6239
053535,call,帝寶,6605
053536,call,雲豹能源,6869
053537,call,泓德能源,6873
053538,call,泓德能源,6873
053539,call,福懋科,8131
053540,call,福懋科,8131
053541,call,福懋科,8131
053542,call,福懋科,8131
053545,call,中砂,1560
053548,call,上銀,2049
053552,call,廣宇,2328
053555,call,凱美,2375
053558,call,欣興,3037
053559,call,景碩,3189
053573,call,台達電,2308
053575,call,金寶,2312
053576,call,鴻海,2317
053577,call,華泰,2329
053578,call,華泰,2329
053585,call,怡利電,2497
053589,call,聯發科,2454
053594,call,訊芯-KY,6451
053595,call,訊芯-KY,6451
053597,call,昇貿,3305
053600,call,亞翔,6139
053603,call,矽格,6257
053609,call,洋基工程,6691
053615,call,台泥,1101
053616,call,士電,1503
053618,call,美時,1795
053619,call,美時,1795
053621,call,台達電,2308
053623,call,菱生,2369
053624,call,大同,2371
053628,call,聯發科,2454
053629,call,華新科,2492
053631,call,欣興,3037
053632,call,欣興,3037
053636,call,全訊,5222
053637,call,力成,6239
053639,call,福懋科,8131
053641,call,南亞,1303
053642,call,美時,1795
053643,call,美時,1795
053644,call,台玻,1802
053645,call,華泰,2329
053646,call,華泰,2329
053647,call,建準,2421
053648,call,欣興,3037
053649,call,欣興,3037
053650,call,欣興,3037
053651,call,欣興,3037
053652,call,聯鈞,3450
053653,call,定穎投控,3715
053654,call,定穎投控,3715
053655,call,定穎投控,3715
053656,call,定穎投控,3715
053657,call,定穎投控,3715
053658,call,定穎投控,3715
053659,call,臻鼎-KY,4958
053660,call,啟碁,6285
053661,call,雲豹能源,6869
053662,call,泓德能源,6873
053663,call,南電,8046
053665,call,南電,8046
053666,call,華城,1519
053667,call,南電,8046
053668,call,南電,8046
053669,call,南電,8046
05366U,put,宏達電,2498
053670,call,福懋科,8131
053674,call,聯電,2303
053675,call,華泰,2329
053676,call,矽格,6257
053679,call,中興電,1513
053680,call,美時,1795
053681,call,美時,1795
053683,call,國巨*,2327
053684,call,超豐,2441
053686,call,日電貿,3090
053687,call,聯鈞,3450
053689,call,定穎投控,3715
053690,call,力成,6239
053694,call,南亞,1303
053702,call,仁寶,2324
053704,call,華泰,2329
053705,call,台積電,2330
053709,call,強茂,2481
053711,call,大立光,3008
053714,call,定穎投控,3715
053715,call,定穎投控,3715
053716,call,啟碁,6285
053719,call,南電,8046
053721,call,中興電,1513
053722,call,國巨*,2327
053723,call,華泰,2329
053724,call,世芯-KY,3661
053725,call,定穎投控,3715
053726,call,定穎投控,3715
053727,call,定穎投控,3715
053728,call,力成,6239
053731,call,力成,6239
053732,call,力成,6239
053734,call,富世達,6805
053740,call,東元,1504
053744,call,聯電,2303
053747,call,華泰,2329
053754,call,景碩,3189
053761,call,南電,8046
053762,call,福懋科,8131
053763,call,富邦科技,0052
053766,call,台泥,1101
053769,call,美時,1795
053770,call,美時,1795
053776,call,台達電,2308
053777,call,華泰,2329
053779,call,台積電,2330
053783,call,瑞昱,2379
053784,call,友達,2409
053793,call,事欣科,4916
053795,call,力成,6239
053796,call,矽格,6257
053799,call,矽力*-KY,6415
053810,call,南亞,1303
053811,call,亞力,1514
053812,call,華新科,2492
053814,call,和大,1536
053816,call,川湖,2059
053817,call,台達電,2308
053819,call,大同,2371
053821,call,華新科,2492
053822,call,新興,2605
053824,call,昇貿,3305
053826,call,至上,8112
053829,call,台塑,1301
053832,call,川湖,2059
053835,call,台積電,2330
053837,call,友達,2409
053838,call,強茂,2481
053842,call,景碩,3189
053845,call,台勝科,3532
053848,call,亞翔,6139
053849,call,佳必琪,6197
053857,call,南亞,1303
053858,call,國巨*,2327
053859,call,強茂,2481
053860,call,景碩,3189
053861,call,新日興,3376
053862,call,雲豹能源,6869
053863,call,南亞,1303
053864,call,中興電,1513
053865,call,和大,1536
053866,call,宏泰,1612
053867,call,台玻,1802
053868,call,光罩,2338
053869,call,致茂,2360
053870,call,菱生,2369
053871,call,凌陽,2401
053872,call,瑞軒,2489
053873,call,華新科,2492
053874,call,欣興,3037
053875,call,達邁,3645
053876,call,東台,4526
053877,call,帆宣,6196
053879,call,惠特,6706
053880,call,南電,8046
053881,call,南電,8046
053882,call,士電,1503
053883,call,聯電,2303
053884,call,聯電,2303
053885,call,飛宏,2457
053886,call,欣興,3037
053887,call,欣興,3037
053888,call,景碩,3189
053889,call,景碩,3189
053890,call,南電,8046
053891,call,南電,8046
053894,call,士電,1503
053895,call,中興電,1513
053897,call,宏泰,1612
053899,call,聯電,2303
053900,call,國巨*,2327
053901,call,台積電,2330
053903,call,漢唐,2404
053904,call,強茂,2481
053908,call,新日興,3376
053909,call,融程電,3416
053910,call,聯鈞,3450
053912,call,眾達-KY,4977
053913,call,啟碁,6285
053914,call,三集瑞-KY,6862
053915,call,大研生醫*,7780
053916,call,大研生醫*,7780
053918,call,南電,8046
053921,call,台泥,1101
053922,call,東陽,1319
053923,call,士電,1503
053924,call,中興電,1513
053926,call,美時,1795
053928,call,川湖,2059
05392U,put,緯穎,6669
053935,call,台積電,2330
053942,call,飛宏,2457
053946,call,嘉晶,3016
053950,call,蔚華科,3055
053954,call,敦泰,3545
053961,call,啟碁,6285
053967,call,泓德能源,6873
053971,call,巨大,9921
053979,call,南亞,1303
053980,call,東元,1504
053981,call,東元,1504
053983,call,中興電,1513
053987,call,美時,1795
053991,call,聯電,2303
053999,call,友達,2409
054001,call,長榮,2603
054015,call,達興材料,5234
054017,call,祥碩,5269
054021,call,日月光投控,3711
054030,call,鴻海,2317
054031,call,光罩,2338
054032,call,矽統,2363
054033,call,矽統,2363
054035,call,漢翔,2634
054036,call,長榮航太,2645
054037,call,大立光,3008
054038,call,嘉晶,3016
054040,call,世芯-KY,3661
054041,call,國精化,4722
054042,call,國精化,4722
054043,call,國精化,4722
054044,call,矽力*-KY,6415
054046,call,緯穎,6669
054048,call,中興電,1513
054049,call,啟碁,6285
054051,call,嘉晶,3016
054053,call,瀚宇博,5469
054054,call,台虹,8039
054062,call,亞力,1514
054066,call,台達電,2308
054068,call,英業達,2356
054072,call,超豐,2441
054074,call,強茂,2481
054081,call,欣興,3037
054087,call,矽力*-KY,6415
054092,call,亞力,1514
054096,call,台積電,2330
054097,call,燿華,2367
054101,call,長榮航太,2645
054110,call,旭隼,6409
054112,call,龍德造船,6753
054113,call,龍德造船,6753
054114,call,富世達,6805
054119,call,華泰,2329
054122,call,欣興,3037
054126,call,宏泰,1612
054127,call,台玻,1802
054128,call,川湖,2059
054129,call,宇隆,2233
054130,call,燿華,2367
054131,call,瑞鼎,3592
054132,call,定穎投控,3715
054133,call,啟碁,6285
054134,call,台泥,1101
054137,call,亞力,1514
054138,call,台玻,1802
054139,call,台玻,1802
054140,call,台玻,1802
054141,call,上銀,2049
054142,call,華泰,2329
054143,call,順德,2351
054144,call,矽統,2363
054145,call,晶技,3042
054147,call,中租-KY,5871
054148,call,帝寶,6605
054149,call,大研生醫*,7780
054156,call,士電,1503
054157,call,士電,1503
054158,call,東元,1504
054160,call,中興電,1513
054161,call,中興電,1513
054167,call,聯電,2303
054168,call,聯電,2303
054172,call,台積電,2330
054186,call,事欣科,4916
054190,call,祥碩,5269
054191,call,力成,6239
054195,call,矽力*-KY,6415
054197,call,緯穎,6669
054205,call,士電,1503
054206,call,上銀,2049
054207,call,燿華,2367
054208,call,定穎投控,3715
054209,call,旭隼,6409
054210,call,元大台灣50,0050
054213,call,光寶科,2301
054214,call,聯電,2303
054215,call,聯電,2303
054216,call,國巨*,2327
054217,call,燿華,2367
054219,call,欣興,3037
054221,call,龍德造船,6753
054222,call,富世達,6805
054231,call,士電,1503
054232,call,中興電,1513
054234,call,上銀,2049
054235,call,聯電,2303
054238,call,英業達,2356
054242,call,飛宏,2457
054243,call,飛宏,2457
054245,call,華新科,2492
054251,call,定穎投控,3715
054252,call,亞翔,6139
054255,call,同欣電,6271
054256,call,啟碁,6285
054257,call,AES-KY,6781
054258,call,富世達,6805
054267,call,南亞,1303
054273,call,宇隆,2233
054278,call,燿華,2367
054286,call,亞聚,1308
054287,call,大亞,1609
054288,call,台達電,2308
054289,call,台達電,2308
054290,call,台達電,2308
054291,call,英業達,2356
054293,call,飛宏,2457
054294,call,瑞軒,2489
054295,call,瑞軒,2489
054296,call,聯陽,3014
054297,call,欣興,3037
054299,call,華晶科,3059
054301,call,新唐,4919
054302,call,中磊,5388
054303,call,聯茂,6213
054304,call,啟碁,6285
054307,call,士電,1503
054308,call,大亞,1609
054309,call,台達電,2308
054310,call,英業達,2356
054311,call,燿華,2367
054312,call,飛宏,2457
054313,call,大立光,3008
054314,call,健鼎,3044
054315,call,全訊,5222
054316,call,旭隼,6409
054317,call,龍德造船,6753
