wcode,kind,uname,ucode
035068,call,強茂,2481
035069,call,強茂,2481
03506T,put,可成,2474
035070,call,長榮航太,2645
035071,call,長榮航太,2645
035073,call,神基,3005
035074,call,晟銘電,3013
035075,call,奇鋐,3017
035077,call,德律,3030
035078,call,健鼎,3044
03507T,put,宏碁,2353
035080,call,創意,3443
035081,call,世芯-KY,3661
035082,call,神達,3706
035083,call,神達,3706
035087,call,達興材料,5234
035088,call,瀚宇博,5469
035089,call,亞翔,6139
03508T,put,華碩,2357
035092,call,AES-KY,6781
035094,call,台虹,8039
035098,call,聯發科,2454
03509T,put,緯創,3231
035117,call,日月光投控,3711
03512T,put,南亞科,2408
03513T,put,鴻海,2317
035148,call,華新,1605
03514T,put,廣宇,2328
035152,call,佳能,2374
03515T,put,亞力,1514
035167,call,晟銘電,3013
03516T,put,鴻海,2317
035170,call,亞光,3019
035172,call,緯創,3231
035177,call,南寶,4766
035185,call,AES-KY,6781
035187,call,采鈺,6789
035188,call,昇陽半導體,8028
03518T,put,元大台灣50,0050
03519T,put,元大台灣50,0050
035214,call,神達,3706
035218,call,台積電,2330
03522T,put,鴻海,2317
03523T,put,士電,1503
035241,call,華通,2313
035245,call,大立光,3008
03524T,put,金寶,2312
035265,call,神基,3005
03526T,put,聯電,2303
03527T,put,康舒,6282
035306,call,緯創,3231
03530T,put,華邦電,2344
035311,call,臻鼎-KY,4958
03531T,put,華邦電,2344
035323,call,和大,1536
035324,call,和大,1536
035325,call,美時,1795
035327,call,華通,2313
035328,call,華通,2313
035329,call,鴻海,2317
03532T,put,國泰金,2882
035330,call,鴻準,2354
035331,call,致茂,2360
035332,call,毅嘉,2402
035333,call,漢唐,2404
035335,call,京元電子,2449
035337,call,義隆,2458
035338,call,義隆,2458
03533T,put,華邦電,2344
035341,call,盟立,2464
035342,call,志聖,2467
035343,call,志聖,2467
035344,call,志聖,2467
035346,call,鉅祥,2476
035347,call,鉅祥,2476
035348,call,強茂,2481
035349,call,強茂,2481
035350,call,皇昌,2543
035351,call,長榮航太,2645
035352,call,神基,3005
035353,call,零壹,3029
035355,call,健鼎,3044
035356,call,辛耘,3583
035357,call,貿聯-KY,3665
035359,call,TPK-KY,3673
03535T,put,中砂,1560
035360,call,神達,3706
035361,call,日月光投控,3711
035362,call,智伸科,4551
035363,call,智伸科,4551
035364,call,南寶,4766
035365,call,南寶,4766
035366,call,南寶,4766
035367,call,南寶,4766
035368,call,上品,4770
035369,call,臻鼎-KY,4958
03536T,put,華邦電,2344
035370,call,立積,4968
035371,call,達興材料,5234
035372,call,達興材料,5234
035373,call,達興材料,5234
035374,call,瀚宇博,5469
035375,call,瀚宇博,5469
035378,call,矽格,6257
035379,call,洋基工程,6691
03537T,put,奇鋐,3017
035380,call,AES-KY,6781
035381,call,泓德能源,6873
035382,call,昇陽半導體,8028
035384,call,台虹,8039
035385,call,台虹,8039
035386,call,台虹,8039
035393,call,華新,1605
035409,call,漢唐,2404
03540T,put,晶技,3042
03541T,put,松川精密,7788
035422,call,緯創,3231
035424,call,創意,3443
035426,call,南寶,4766
035455,call,長榮航太,2645
035456,call,神基,3005
035457,call,亞光,3019
035458,call,神達,3706
035460,call,佳必琪,6197
035461,call,佳必琪,6197
035462,call,鈺邦,6449
035463,call,富世達,6805
035464,call,昇陽半導體,8028
035465,call,台虹,8039
03546T,put,永光,1711
035472,call,神達,3706
03547T,put,漢唐,2404
035480,call,創意,3443
035483,call,緯穎,6669
03548T,put,友達,2409
035518,call,采鈺,6789
035528,call,台積電,2330
035532,call,奇鋐,3017
035537,call,祥碩,5269
035538,call,AES-KY,6781
035539,call,昇陽半導體,8028
035543,call,為升,2231
03554T,put,元大台灣50,0050
035555,call,貿聯-KY,3665
03556T,put,晶豪科,3006
035586,call,漢唐,2404
03558T,put,光寶科,2301
03559T,put,南亞科,2408
035600,call,德律,3030
035602,call,華晶科,3059
035611,call,南寶,4766
035616,call,佳必琪,6197
035623,call,富世達,6805
035636,call,鴻海,2317
03564T,put,南亞,1303
035652,call,萬海,2615
035659,call,創意,3443
03565T,put,華城,1519
035665,call,南寶,4766
03566T,put,鴻海,2317
03567T,put,智邦,2345
035682,call,所羅門,2359
035689,call,台積電,2330
03568T,put,南亞科,2408
035699,call,奇鋐,3017
03569T,put,瑞軒,2489
03570T,put,奇鋐,3017
035718,call,光寶科,2301
035719,call,台達電,2308
03571T,put,健鼎,3044
03572T,put,日月光投控,3711
035730,call,創意,3443
035735,call,AES-KY,6781
035737,call,士電,1503
035738,call,中砂,1560
035739,call,川湖,2059
03573T,put,啟碁,6285
035740,call,川湖,2059
035741,call,川湖,2059
035742,call,光寶科,2301
035744,call,海悅,2348
035745,call,所羅門,2359
035746,call,致茂,2360
035747,call,鉅祥,2476
035748,call,強茂,2481
03574T,put,可成,2474
035751,call,神基,3005
035752,call,晟銘電,3013
035753,call,緯創,3231
035754,call,玉晶光,3406
035755,call,聯鈞,3450
035756,call,貿聯-KY,3665
035757,call,上品,4770
035759,call,達興材料,5234
03575T,put,元大台灣50,0050
035760,call,達興材料,5234
035761,call,長虹,5534
035762,call,達麗,6177
035763,call,佳必琪,6197
035764,call,矽格,6257
035765,call,鈺邦,6449
035766,call,AES-KY,6781
035767,call,采鈺,6789
035768,call,采鈺,6789
035769,call,采鈺,6789
035770,call,泓德能源,6873
035779,call,華邦電,2344
03580T,put,元大台灣50,0050
035818,call,廣宇,2328
03581T,put,南亞科,2408
035828,call,長榮航太,2645
03582T,put,華城,1519
035835,call,德律,3030
035839,call,宏致,3605
03583T,put,鴻海,2317
035846,call,達興材料,5234
03584T,put,智邦,2345
